Identifier,Transcription,Characters,Sixtuple,Fanqie
125,'je,漪猗椅旖禕陭欹㾨犄𩕲檹,止開三平支影,於離
126,drje,馳趍池簃篪䶵踟褫䪧䶔誃傂䞾,止開三平支澄,直離
127,sjwe,眭,止合三平支心,息爲
128,ngjwe,危㕒洈峗,止合三平支疑,魚爲
129,xjie,詑焁,止開三平支曉,香支
130,srje,釃簁篩欐襹𧕯籭褷,止開三平支生,所宜
131,srjwe,䪎䭨,止合三平支生,山垂
132,nywe,痿䬐,止合三平支日,人垂
133,tsje,厜觜惢纗嫢㭰,止開三平支精,姊移
134,kjwie,規𩓸𩓡槻鬹𨾚摫,止合三平支見,居隋
135,tsjwe,劑㭰𦸺臇𤎱㷷,止合三平支精,遵爲
136,tsrhjwe,衰夊,止合三平支初,楚危
137,trjwe,腄箠㩾,止合三平支知,竹垂
138,tsjwe,䮔,止合三平支精,子垂
139,tsyhe,眵䌳,止開三平支昌,叱支
140,tsrje,齜,止開三平支莊,側移
141,phjie,𤿎,止開三平支滂,匹支
142,ywe,䔺𩁌蠵欈𧲚䝐,止合三平支以,悅吹
143,dzrje,齹,止開三平支崇,士移
144,tsyij,脂祗汦砥栺鴲㴯疻䓜𥁼,止開三平脂章,旨夷
145,yij,姨彞彝寅夷峓恞眱𣟗珆蔩𡰥痍䧅荑桋蛦胰鮧羠羨鏔𢓡鴺𡱐跠洟,止開三平脂以,以脂
146,srij,師鰤蒒篩獅螄,止開三平脂生,疏夷
147,bjij,𣬈毗比琵㮰芘沘貔豼膍肶蚍𧖈枇仳𨈚魮鈚𦳈𦊁阰𧑜鵧,止開三平脂並,房脂
148,tsij,資咨粢𪗉𪗋𧞓諮姿齍澬𣳩齎蒫𩆂𩄠,止開三平脂精,即夷
149,kjij,飢机肌虮,止開三平脂見,居夷
150,tsyhij,鴟𨾦鵄胵𩶅𧪡𨒬,止開三平脂昌,處脂
151,trhij,絺郗辴𥭘脪瓻訵,止開三平脂徹,丑飢
152,tshij,郪趑𨌅趀𧾒𧠵𡰾𡳠蠀,止開三平脂清,取私
153,dzij,茨薋薺餈糍𩜴垐䆅𧓉瓷澬𥿆𨌅𩆂,止開三平脂從,疾資
154,nrij,尼柅怩蚭跜呢𩚯䝚,止開三平脂娘,女夷
155,drij,遲墀𡎰坻泜遟蚳岻彽阺荎菭謘莉貾,止開三平脂澄,直尼
156,sij,私鋖鐁𦮺㺨厶,止開三平脂心,息夷
157,syij,尸鳲屍蓍,止開三平脂書,式之
158,gjij,鬐𦓀耆愭𧡺𥉙䅲祁𨪌鰭鮨,止開三平脂群,渠脂
159,'jij,伊咿黝黟𧉅,止開三平脂影,於脂
160,lij,棃梨𠠍秜蜊蔾犂刕𢤂鯬鑗䴻蟍𨟀犁,止開三平脂來,力脂
161,gjwij,葵鄈楑𩹍𢜽𦝢䳫𧍜,止合三平脂群,渠隹
162,trwij,追䨨娺,止合三平脂知,陟隹
163,kwij,龜𪚦𤕣䟸螝騩頄鱖,止合三平脂見,居追
164,nywij,蕤甤緌擩桵䅑捼,止合三平脂日,儒隹
165,srwij,衰摔榱𤸬,止合三平脂生,所追
166,ywij,惟𣄧維遺濰壝𥌰蓶䜅琟唯𧔥,止合三平脂以,以追
167,lwij,㶟纍虆欙樏𤜖𡿔𡤯嫘瓃𥍔鸓儽纝縲,止合三平脂來,力追
168,swij,雖綏荾荽䒘葰浽奞夊睢濉䅑,止合三平脂心,息遺
169,gwij,逵夔𣦞馗戣鍨騤犪躨𦝢艽䟸𠊾頯𠐽𧢦𢌳頄,止合三平脂群,渠追
170,mij,眉睂嵋湄𤃱鶥楣瑂矀覹䉠黴麋蘪郿㵟薇𦗕葿攗猸,止開三平脂明,武悲
171,pij,悲,止開三平脂幫,府眉
172,tsywij,錐隹𪋇騅㮅䶆萑鵻,止合三平脂章,職追
173,dzywij,誰脽䜅,止合三平脂常,視隹
174,hwij,帷,止合三平脂云,洧悲
175,bij,邳鉟䲹岯魾䫠,止開三平脂並,符悲
176,phij,丕㔻伾秠䪹駓怌䫠豾髬魾鉟苤,止開三平脂滂,敷悲
177,xjwij,倠婎睢眭𢊄,止合三平脂曉,許維
178,drwij,鎚椎槌桘顀,止合三平脂澄,直追
179,tsrhwij,推蓷,止合三平脂初,叉隹
180,trij,胝氐秪䜉,止開三平脂知,丁尼
181,phjij,紕㩺𦀘𧧺悂𢞗,止開三平脂滂,匹夷
182,tswij,嶉檇,止合三平脂精,醉綏
183,khwij,巋蘬,止合三平脂溪,丘追
184,ngjij,狋,止開三平脂疑,牛肌
185,xjij,咦忾䐅𣢂屎,止開三平脂曉,喜夷
186,tsyi,之芝臸㞢,止開三平之章,止而
187,yi,飴𩛛䬮怡弬媐异㼢𣐵鏔圯貽巸洍𦣝𩠞頤詒㺿沶宧𦚟䱌姬台眙瓵,止開三平之以,與之
188,dzyi,時旹塒鼭榯蒔鰣,止開三平之常,市之
189,ngi,疑嶷觺,止開三平之疑,語其
190,si,思恖司罳伺絲緦悤禗覗㺇𥄶蕬偲楒鷥,止開三平之心,息兹
191,tsrhi,輜颸,止開三平之初,楚持
192,gi,其期旗綦綨𢃛萁𧯯蜝琪麒騏淇䳢錤藄棊櫀碁棋𤪌璂鯕蘄祺禥踑𦪆䑴畁䶞蜝蜞亓,止開三平之群,渠之
193,syi,詩邿齝𪗪䀢,止開三平之書,書之
194,nyi,而栭𣚊𨼏陾陑髵峏𨎪輀𦠌胹𦓒𩰴洏鮞耏咡䎠誀鴯,止開三平之日,如之
195,khi,欺娸䫥䫏𠐾魌僛𪅾𪀩䶞抾,止開三平之溪,去其
196,ki,姬朞稘基箕萁䇫諅其錤居諆丌,止開三平之見,居之
197,zi,詞祠柌辭辤辝𥿆,止開三平之邪,似兹
198,li,釐厘貍狸氂嫠剺梩犛𣁟倈艃𣮉孷𢟤𩭇㾖筣斄𠩬𠭰,止開三平之來,里之
199,tsri,葘菑甾𦸜湽𥀜淄茬輺輜鍿錙鶅緇䊷椔鯔䎩䣎,止開三平之莊,側持
200,xi,僖歖熙嬉禧媐譆𠩺瞦㶼熹嘻㰩娭誒,止開三平之曉,許其
201,'i,醫毉譩噫㿄,止開三平之影,於其
202,trhi,癡齝笞痴,止開三平之徹,丑之
203,dri,治持莉,止開三平之澄,直之
204,tsyhi,蚩嗤媸妛𦐉𣍆𥉍,止開三平之昌,赤之
205,dzi,慈兹茲鷀鶿礠磁濨,止開三平之從,疾之
206,tsi,兹茲孳嵫孜滋嗞𪑿鎡孖鼒鰦仔鷀稵,止開三平之精,子之
207,dzri,茬茌,止開三平之崇,士之
208,zri,漦,止開三平之俟,俟甾
209,khi,抾,止開三平之溪,丘之
210,syi,䀵,止開三平之書,式其
211,mjɨj,微𢼸㵟䉠薇䥩癓矀,止合三平微明,無非
212,xjwɨj,揮煇輝暉徽翬褘鰴楎幑瀈㫎𤟤,止合三平微曉,許歸
213,hjwɨj,圍幃韋䙟𩎯闈違湋囗鍏潿婔𧝕𠆎𢾁,止合三平微云,雨非
214,phjɨj,霏䬠妃䩁婓裶𥇖菲騑,止合三平微滂,芳非
215,pjɨj,非猆飛扉緋𩙲馡𩹉騛騑誹餥,止合三平微幫,甫微
216,bjɨj,肥腓䈈淝𤷂痱蜰𩇯蟦賁裴,止合三平微並,符非
217,'jwɨj,威葳隇嵔蝛鰄媁楲,止合三平微影,於非
218,gjɨj,祈頎旂𩴆畿㙨崎碕圻刏𧰙𦠄俟幾蚚玂蟣岓𪙧,止開三平微群,渠希
219,kjɨj,機譏蘄嘰𦺬磯鞿饑禨幾䟇鐖僟璣刏𧗇,止開三平微見,居依
220,xjɨj,希晞莃鵗睎稀豨𧻶桸烯俙欷浠,止開三平微曉,香衣
221,'jɨj,依衣郼譩㛄䧇㥋㐆,止開三平微影,於希
222,ngjɨj,沂溰,止開三平微疑,魚衣
223,ngjwɨj,巍犩,止合三平微疑,語韋
224,kjwɨj,歸㱕騩皈,止合三平微見,舉韋
225,khjwɨj,蘬𧢦,止合三平微溪,丘韋
226,ngjo,魚漁齬鋙衙䲆𩼪䰻䁩,遇開三平魚疑,語居
227,tsrhjo,初𠿝,遇開三平魚初,楚居
228,syo,書瑹舒紓鵨𦺗𨛭,遇開三平魚書,傷魚
229,kjo,居𡨢据裾琚䝻鶋車崌蜛椐涺𦱅腒,遇開三平魚見,九魚
230,gjo,渠𨎶𦄽璩磲蕖籧𥴧淭醵腒𪆫螶蟝䝣豦蘧鐻璖𨞙㯫䟊𦼫䆽𧝔懅,遇開三平魚群,強魚
231,yo,余蜍藇㶛餘輿旟鵌璵艅畬𤰩𤄕歟與譽嬩舁擧妤伃㦛𪋮予㺞𩦡𧾚狳鸒雓,遇開三平魚以,以諸
232,sjo,胥䱬䈝稰楈藇諝㥠湑蝑揟,遇開三平魚心,相居
233,tshjo,疽岨砠䢸趄苴沮狙䏣蛆雎蒩𣻐伹坥𡳆,遇開三平魚清,七余
234,dzrjo,鉏鋤耡𧱑𪆷豠,遇開三平魚崇,士魚
235,trhjo,攄摴㯉樗筡,遇開三平魚徹,丑居
236,srjo,疏梳綀蔬踈疎釃疋𥿇𤕟㽰𦌿,遇開三平魚生,所葅
237,xjo,虛虚歔噓魖驉𥛳,遇開三平魚曉,朽居
238,zjo,徐俆䣄䍱,遇開三平魚邪,似魚
239,'jo,於淤扵箊唹,遇開三平魚影,央居
240,trjo,豬猪瀦櫫藸,遇開三平魚知,陟魚
241,ljo,臚閭䰕廬蘆櫚驢藘䕡爈𤁵㠠櫖璷䮉𥶆𢣻,遇開三平魚來,力居
242,tsyo,諸櫧㶆藷䃴蠩𧄔,遇開三平魚章,章魚
243,drjo,除躇儲涂篨𦿀宁㾻著滁蒢屠藸,遇開三平魚澄,直魚
244,nyo,如洳茹𨚴鴽𨾵蒘𡫾,遇開三平魚日,人諸
245,tsjo,且蛆苴沮,遇開三平魚精,子魚
246,khjo,墟圩虚𥬔袪阹椐胠魼㠊𢴮㭕䒧祛,遇開三平魚溪,去魚
247,tsrjo,菹沮䶥𧄗,遇開三平魚莊,側魚
248,dzyo,蜍𧄔稌,遇開三平魚常,署魚
249,nrjo,袽帤𣭠挐蒘𣖹,遇開三平魚娘,女余
250,ngju,愚虞𩦢娛湡堣𪃍嵎髃禺隅䴁鰅鍝澞𧍪㷒齵鸆𨜖,遇合三平虞疑,虞俱
251,tsrhju,芻犓,遇合三平虞初,測隅
252,mju,無毋瞴膴蕪誣巫莁璑𨼊䉑鷡𦌬蝥𢜮无𢃀譕墲鵐憮䍢,遇合三平虞明,武夫
253,hju,于迂盂邘雩𦏴竽玗芋汙䣿杅釪𧘘骬𠌶謣䩒䢓𦱃圩,遇合三平虞云,羽俱
254,xju,訏吁雩欨㽳盱𧙆𥈈姁𦀒扜𠌶荂扜䣿旴䩒㰭虖𥈸,遇合三平虞曉,況于
255,gju,衢劬軥氍眗䧁臞癯鴝鸜灈躣忂𩢳鼩蘧斪句蠷瞿欋葋翵翑蚼𪓞𧾱䞤𠣪絇𡱺𥃔𥗫戵鑺姁蠼朐,遇合三平虞群,其俱
256,nyu,儒獳濡襦懦嚅鱬䞕臑𪋯醹䰰㼱嬬繻顬蠕薷,遇合三平虞日,人朱
257,sju,須鬚繻需娶緰嬃𥪥𢄼𪋯蕦鑐隃𩓣,遇合三平虞心,相俞
258,trju,株誅邾鼄蛛列鴸跦袾㦵𪏿,遇合三平虞知,陟輸
259,trhju,貙𤠾,遇合三平虞徹,敕俱
260,dzyu,殊銖洙茱殳𢎦几杸陎杸㼡𦤂,遇合三平虞常,市朱
261,yu,逾踰窬臾楰腴諛隃鄃覦𨵦俞歈愉𢋅揄褕瑜崳㥚羭蝓榆萸堬牏渝媮𤜹㳛𤧙瘉螸蕍𦺮䩱䜽萮𧃠舀㼶騟𢔢𥯮𥔢瘐,遇合三平虞以,羊朱
262,khju,區鰸𢿛䧢驅嶇軀摳,遇合三平虞溪,豈俱
263,tsyu,朱珠侏絑秼咮鴸鮢𤝹硃,遇合三平虞章,章俱
264,tshju,趨趍鯫,遇合三平虞清,七逾
265,lju,慺蔞氀瞜䱾㟺䝏㺏摟鷜鏤䣚婁瘻𤗬膢,遇合三平虞來,力朱
266,bju,扶𢺻芙符颫鳧榑苻蚨夫𦽏𣿆枹瓿𧥱枎坿泭𣻜𤱽𣘧𣻥𢞦𦑹𦔾玸,遇合三平虞並,防無
267,dzrju,䅳媰雛鶵,遇合三平虞崇,仕于
268,tsrju,㑳搊,遇合三平虞莊,莊俱
269,phju,敷麩麱孚𣞒郛鄜鋪筟俘痡殍怤䎔𧀮孵豧尃䱐罦稃𥹃莩泭郙㕊桴䒀㩤姇荂紨䓵㲗䓏秿,遇合三平虞滂,芳無
270,tsju,諏㖩𡸨娵掫嗺陬,遇合三平虞精,子于
271,pju,夫跗趺膚肤邞鈇衭扶㠸玞𩿧𧀴簠鳺柎𩬙𩵩䄮䃿妋呋,遇合三平虞幫,甫無
272,'ju,迂紆靪陓扜䩽䙔蓲䣿㝼虶䨕,遇合三平虞影,憶俱
273,syu,輸鄃隃,遇合三平虞書,式朱
274,tsyhu,樞姝𩪍袾䇬,遇合三平虞昌,昌朱
275,drju,廚厨櫥蹰躕幮裯趎,遇合三平虞澄,直誅
276,kju,拘駒䀠眗岣㪺𨞜捄跔鮈俱痀𥇛𥗫,遇合三平虞見,舉朱
277,srju,毹㡏橾螋,遇合三平虞生,山芻
278,mu,模橅墲摸嫫謨𠻚㡔𨡭䉑无膜摹,遇開一平模明,莫胡
279,bu,酺匍蜅荹䔕樸菩蒲蒱䈻葡,遇開一平模並,薄胡
280,hu,胡𩑶𠴱壷壺狐瓳餬瑚湖鶘猢醐𪏻䊀𪍒糊弧乎𠀒𪕱瓠葫㾰魱箶䉉𥶜𧛞㯛虖𧍵蝴,遇開一平模匣,戸吳
281,ku,孤苽菰胍𡗷姑辜呱泒酤觚蛄箛鴣橭𠷞沽柧𨬕䉉𧇡盬嫴罛軱箍䐻㼋菇咕,遇開一平模見,古胡
282,du,徒𨑒屠瘏塗途酴駼𤙛鵌涂梌㭸荼圖啚𤺈䣝菟捈䣄䅷嵞峹𣘻鍍䤅蒤䖘鷵筡,遇開一平模定,同都
283,nu,奴㚢駑帑孥笯砮,遇開一平模泥,乃都
284,xu,呼嘑虖𧦝歑戲謼膴幠葫恗軤虍苸雐䰧滹,遇開一平模曉,荒烏
285,ngu,吾鼯𪁙𧋋吳吴浯䓊㹳㻍珸蜈郚齬鯃娪鋘梧峿麌𦨳祦,遇開一平模疑,五乎
286,tsu,租蒩,遇開一平模精,則吾
287,lu,盧鑪壚籚蘆顱髗鱸攎櫨轤黸獹鸕艫纑瀘瓐爐玈𢐸㢚𤮧嚧臚㿖㭔䰕𧇄𧆨罏蠦㪭𦿊,遇開一平模來,落胡
288,su,蘇穌酥㢝,遇開一平模心,素姑
289,dzu,徂䢐殂𣨐,遇開一平模從,昨胡
290,'u,烏嗚洿汚污杇圬釫鰞歍鎢㢪於瑦鄔盓螐惡扝𦶀㮧鴮,遇開一平模影,哀都
291,pu,逋餔𥂈晡鵏庯陠𧻷峬誧秿鯆抪鈽,遇開一平模幫,博孤
292,khu,枯刳扝郀軲㱠跍挎㢪橭鮬骷,遇開一平模溪,苦胡
293,tshu,麤麁𧆓𥼡觕𤿚,遇開一平模清,倉胡
294,thu,㻌稌悇嶀㻯𡸂庩䞮梌㻬捈䩣,遇開一平模透,他胡
295,tu,都闍𥳉𦘴𧷿醏䩲,遇開一平模端,當孤
296,phu,鋪𥠵鯆𩹲𨁏痡誧豧墲陠䮒𢼹,遇開一平模滂,普胡
297,dzej,齊臍麡蠐𪗍懠䶒癠𨥳,蟹開四平齊從,徂奚
298,lej,犁黎𤛿莉黧藜鯬𦃇盠邌𨛫廲蔾筣驪瓈𥌛𩧋㦒謧𨿯,蟹開四平齊來,郎奚
299,tshej,妻萋淒凄悽鶈郪緀齌霋,蟹開四平齊清,七稽
300,tej,低氐袛磾鞮腣羝眡隄堤岻䧑奃趆𡰖鍉柢䐎䚣𥿄揥㓳䬫,蟹開四平齊端,都奚
301,dej,提嗁啼蹏蹄𥶛詆瑅隄桋題媞𧡨綈罤𣹲𣖅締蕛稊𦯔䬾醍褆鵜荑禔䱱崹緹鷤鼶騠折䨑銕䱱䖙𥉘䬫䚣𢔭謕𡰄厗𪂿鶙𡰖蝭𨪉鴺㡗銻鮷趧𧋘鮧鶙鯷䐎,蟹開四平齊定,杜奚
